"Term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",59763.8767951093,3898.98719863408,15.3280515555543,3.37264485667629e-41
"Age",-483.038728733696,145.780252383155,-3.31347161798104,0.00101471689247101
"GenderMale",3093.58779649919,758.252297202417,4.0798924156419,5.54882589879445e-05
"GenderOther",-2406.34913491147,856.731207979756,-2.80875624991629,0.00524385020803387
"EducationHigh School",-9844.49665084477,728.325590310481,-13.5166150713558,5.69135266988926e-34
"EducationMaster's",13021.4998313155,874.826370506664,14.8846677127188,2.07894938237141e-39
"EducationPhD",11275.8908046737,840.46248662267,13.4162927961068,1.40564007001557e-33
