"","Age","Income","Happiness","Score","Height","Weight"
"Age",1,0.530107834361876,0.454176566756908,0.639116891853446,0.646800751551636,0.642309998873923
"Income",0.530107834361876,1,0.697365790647804,0.873922100984645,0.553179510688818,0.460586721949096
"Happiness",0.454176566756908,0.697365790647804,1,0.813177874593486,0.140197431279693,0.031301370559306
"Score",0.639116891853446,0.873922100984645,0.813177874593486,1,0.336212263639246,0.198926905186177
"Height",0.646800751551636,0.553179510688818,0.140197431279693,0.336212263639246,1,0.986797155851279
"Weight",0.642309998873923,0.460586721949096,0.031301370559306,0.198926905186177,0.986797155851279,1
